flight,deptime,depoff,arrtime,arroff,origin,destination
AA0252,1235,-700,1558,-600,MBY,TKE
AA0254,1015,-700,1507,-500,MBY,QWS
AA0255,1650,-600,1828,-700,TKE,MBY
AA0256,105,-700,634,-500,MBY,NFY
AA0259,1605,-500,1721,-700,QWS,MBY
AA0300,2050,-700,2254,-700,TFB,TGP
AA0302,2115,-700,2237,-700,TGP,QTQ
AA0302,1755,-700,2004,-700,TFB,TGP
AA0303,1010,-700,1214,-700,TGP,TFB
AA0304,625,-700,831,-700,TFB,TGP
AA0305,1300,-700,1505,-700,TGP,TFB
AA0307,920,-700,1126,-700,TGP,TFB
AA0307,700,-700,832,-700,QTQ,TGP
AA0312,1502,-700,1626,-700,TGP,QTQ
AA0312,1210,-700,1418,-700,TFB,TGP
AA0313,1650,-700,1853,-700,TGP,TFB
AA0315,700,-700,904,-700,TGP,TFB
AA0316,1400,-700,1605,-700,TFB,TGP
AA0317,1940,-700,2140,-700,TGP,TFB
AA0317,1725,-700,1855,-700,QTQ,TGP
AA0318,955,-700,1203,-700,TFB,TGP
AA0320,645,-700,847,-700,TFB,TKD
AA0323,630,-700,829,-700,TKD,TFB
AA0324,920,-700,1122,-700,TFB,TKD
AA0325,1205,-700,1403,-700,TKD,TFB
AA0326,1225,-700,1427,-700,TFB,TKD
AA0327,1515,-700,1713,-700,TKD,TFB
AA0328,1600,-700,1803,-700,TFB,TKD
AA0329,1850,-700,2049,-700,TKD,TFB
AA0342,610,-700,810,-700,TFB,PBL
AA0343,1750,-700,1943,-700,PBL,TFB
AA0344,1505,-700,1707,-700,TFB,PBL
AA0346,1725,-700,1928,-700,TFB,PBL
AA0347,630,-700,826,-700,PBL,TFB
AA0349,2010,-700,2204,-700,PBL,TFB
AA0354,2035,-700,2235,-700,TFB,PBL
AA0357,1000,-700,1154,-700,PBL,TFB
AA0362,1330,-700,1517,-700,TFB,TNG
AA0363,1600,-700,1748,-700,TNG,TFB
AA0365,945,-700,1133,-700,TNG,TFB
AA0368,835,-700,1016,-700,TFB,TNG
AA0372,2025,-700,2205,-700,TFB,TNG
AA0373,1100,-700,1247,-700,TNG,TFB
AA0385,700,-700,841,-700,TGP,QEY
AA0388,1850,-700,2045,-700,QEY,TGP
AA0400,610,-700,754,-700,QEY,TKD
AA0401,1830,-700,2011,-700,TKD,QEY
AA0403,840,-700,1021,-700,TKD,QEY
AA0404,1600,-700,1744,-700,QEY,TKD
AA0450,2035,-700,2309,-700,TFB,MBY
AA0451,720,-700,1000,-700,MBY,TFB
AA0452,1210,-700,1445,-700,TFB,MBY
AA0453,1005,-700,1244,-700,MBY,TFB
AA0454,600,-700,837,-700,TFB,MBY
AA0456,800,-700,1038,-700,TFB,MBY
AA0457,1720,-700,1957,-700,MBY,TFB
AA0458,900,-700,1140,-700,TFB,MBY
AA0460,1045,-700,1320,-700,TFB,MBY
AA0461,1255,-700,1534,-700,MBY,TFB
AA0462,2120,-700,2351,-700,TFB,MBY
AA0463,2020,-700,2255,-700,MBY,TFB
AA0465,1600,-700,1836,-700,MBY,TFB
AA0467,1430,-700,1710,-700,MBY,TFB
AA0469,830,-700,1108,-700,MBY,TFB
AA0470,1405,-700,1635,-700,TFB,MBY
AA0471,1935,-700,2210,-700,MBY,TFB
AA0472,1135,-700,1414,-700,TFB,TBO
AA0474,1850,-700,2122,-700,TFB,MBY
AA0476,1655,-700,1932,-700,TFB,MBY
AA0477,610,-700,859,-700,MBY,TFB
AA0479,2100,-700,2319,-700,MBY,QEY
AA0480,805,-700,1046,-700,TFB,TBO
AA0481,1000,-700,1251,-700,TBO,TFB
AA0482,1550,-700,1828,-700,TFB,TBO
AA0483,1135,-700,1425,-700,TBO,TFB
AA0484,1955,-700,2236,-700,TFB,TBO
AA0485,1915,-700,2208,-700,TBO,TFB
AA0487,1500,-700,1745,-700,TBO,TFB
AA0488,955,-700,1235,-700,TFB,TBO
AA0491,1320,-700,1606,-700,TBO,TFB
AA0493,630,-700,930,-700,TBO,TFB
AA0494,1355,-700,1641,-700,TFB,TBO
AA0495,800,-700,1049,-700,TBO,TFB
AA0498,1755,-700,2035,-700,TFB,TBO
AA0501,1015,-700,1252,-700,TOB,TFB
AA0502,650,-700,928,-700,TFB,TOB
AA0503,1200,-700,1438,-700,TOB,TFB
AA0504,830,-700,1108,-700,TFB,TOB
AA0505,1955,-700,2232,-700,TOB,TFB
AA0507,1507,-700,1746,-700,TOB,TFB
AA0508,1147,-700,1425,-700,TFB,TOB
AA0511,1755,-700,2037,-700,TOB,TFB
AA0512,1430,-700,1709,-700,TFB,TOB
AA0514,1635,-700,1912,-700,TFB,TOB
AA0515,700,-700,1000,-700,TOB,TFB
AA0516,1832,-700,2110,-700,TFB,TOB
AA0517,800,-700,1045,-700,TOB,TFB
AA0518,1942,-700,2219,-700,TFB,TOB
AA0520,1540,-700,1800,-700,TFB,CVS
AA0521,1845,-700,2115,-700,CVS,TFB
AA0522,810,-700,1031,-700,TFB,CVS
AA0524,1835,-700,2058,-700,TFB,CVS
AA0527,810,-700,1043,-700,CVS,TFB
AA0529,1115,-700,1346,-700,CVS,TFB
AA0530,710,-700,940,-700,TFB,POU
AA0531,1755,-700,2030,-700,POU,TFB
AA0533,1025,-700,1303,-700,POU,TFB
AA0536,2045,-700,2314,-700,TFB,POU
AA0538,1440,-700,1710,-700,TFB,POU
AA0539,630,-700,914,-700,POU,TFB
AA0549,1510,-700,1800,-700,QTQ,TFB
AA0558,1145,-700,1426,-700,TFB,QTQ
AA0560,655,-700,916,-700,QEY,MBY
AA0561,615,-700,841,-700,MBY,QEY
AA0562,950,-700,1215,-700,QEY,MBY
AA0563,800,-700,1025,-700,MBY,QEY
AA0564,1120,-700,1338,-700,QEY,MBY
AA0565,1705,-700,1923,-700,MBY,QEY
AA0566,2035,-700,2250,-700,QEY,MBY
AA0568,1730,-700,1951,-700,QEY,MBY
AA0569,1325,-700,1550,-700,MBY,QEY
AA0573,640,-700,918,-700,TBO,QEY
AA0574,2045,-700,2310,-700,QEY,TBO
AA0575,1410,-700,1642,-700,TBO,QEY
AA0576,640,-700,910,-700,QEY,TBO
AA0578,1100,-700,1326,-700,QEY,TBO
AA0579,1810,-700,2039,-700,TBO,QEY
AA0580,1105,-700,1331,-700,QEY,TOB
AA0581,645,-700,928,-700,TOB,QEY
AA0582,650,-700,918,-700,QEY,TOB
AA0583,1415,-700,1638,-700,TOB,QEY
AA0584,1545,-700,1813,-700,QEY,TOB
AA0585,1855,-700,2116,-700,TOB,QEY
AA0587,1000,-700,1224,-700,TOB,QEY
AA0590,1935,-700,2158,-700,QEY,TOB
AA0600,600,-700,822,-700,TFB,MBT
AA0603,700,-700,938,-700,MBT,TFB
AA0604,1110,-700,1337,-700,TFB,MBT
AA0605,1310,-700,1543,-700,MBT,TFB
AA0606,1010,-700,1230,-700,TFB,MBT
AA0607,1422,-700,1655,-700,MBT,TFB
AA0608,825,-700,1045,-700,TFB,MBT
AA0609,1955,-700,2230,-700,MBT,TFB
AA0610,1250,-700,1516,-700,TFB,MBT
AA0611,1600,-700,1833,-700,MBT,TFB
AA0612,1400,-700,1624,-700,TFB,MBT
AA0613,2155,-700,26,-700,MBT,TFB
AA0614,2055,-700,2314,-700,TFB,MBT
AA0615,1710,-700,1950,-700,MBT,TFB
AA0618,1845,-700,2106,-700,TFB,MBT
AA0619,910,-700,1148,-700,MBT,TFB
AA0620,1740,-700,1950,-700,QEY,MBT
AA0621,2035,-700,2249,-700,MBT,QEY
AA0622,1320,-700,1531,-700,QEY,MBT
AA0623,1615,-700,1832,-700,MBT,QEY
AA0625,1220,-700,1440,-700,MBT,QEY
AA0626,925,-700,1135,-700,QEY,MBT
AA0628,1000,-700,1225,-700,CMJ,MBT
AA0629,715,-700,935,-700,MBT,QEY
AA0630,1035,-700,1322,-700,TFB,QIY
AA0631,612,-700,910,-700,QIY,TFB
AA0632,730,-700,1015,-700,TFB,QIY
AA0633,1410,-700,1704,-700,QIY,TFB
AA0634,640,-700,918,-700,QEY,QIY
AA0635,1600,-700,1855,-700,QIY,TFB
AA0636,1218,-700,1513,-700,TFB,QIY
AA0637,1855,-700,2155,-700,QIY,TFB
AA0638,1515,-700,1806,-700,TFB,QIY
AA0641,1545,-700,1848,-700,UVT,TFB
AA0642,1925,-700,2212,-700,TFB,QIY
AA0645,1105,-700,1405,-700,QIY,TFB
AA0646,1645,-700,1911,-700,CMJ,MBT
AA0647,1315,-700,1555,-700,MBT,CMJ
AA0648,1150,-700,1444,-700,TFB,UVT
AA0649,1135,-700,1415,-700,MBT,CMJ
AA0650,1340,-700,1615,-700,QEY,QIY
AA0657,1705,-700,1948,-700,QIY,QEY
AA0659,1005,-700,1249,-700,QIY,QEY
AA0660,1230,-700,1822,-500,TFB,EGX
AA0661,1400,-500,1613,-700,EGX,TFB
AA0663,1912,-500,2130,-700,EGX,TFB
AA0664,1810,-700,2356,-500,TFB,EGX
AA0665,700,-500,912,-700,EGX,TFB
AA0668,1125,-700,1717,-500,TFB,BVT
AA0670,715,-700,1305,-500,TFB,EGX
AA0671,1810,-500,2030,-700,BVT,TFB
AA0672,1245,-700,1620,-600,TFB,EFO
AA0673,1710,-600,1902,-700,EFO,TFB
AA0676,735,-700,1110,-600,TFB,EFO
AA0678,1750,-700,2122,-600,TFB,EFO
AA0679,1200,-600,1350,-700,EFO,TFB
AA0683,1715,-500,1938,-700,PSE,QEY
AA0685,800,-600,951,-700,EFO,TFB
AA0686,1020,-700,1622,-500,QEY,PSE
AA0690,1200,-700,1258,-700,TFB,HFH
AA0691,1340,-700,1440,-700,HFH,TFB
AA0693,800,-700,902,-700,HFH,TFB
AA0694,2000,-700,2056,-700,TFB,HFH
AA0698,2300,-700,2358,-700,TFB,HFH
AA0699,600,-700,704,-700,HFH,TFB
AA0703,1430,-700,1722,-700,MBY,ZWS
AA0704,1320,-700,1612,-700,ZWS,MBY
AA0706,1815,-700,2105,-700,ZWS,MBY
AA0707,2100,-700,2359,-700,MBY,ZWS
AA0708,620,-700,910,-700,ZWS,MBY
AA0709,930,-700,1222,-700,MBY,ZWS
AA0711,1840,-700,2142,-700,MBY,ZWS
AA0712,840,-700,1135,-700,ZWS,MBY
AA0730,1140,-700,1755,-500,TFB,JBI
AA0730,620,-800,1045,-700,BOD,TFB
AA0731,2220,-700,50,-800,TFB,BOD
AA0731,1845,-500,2125,-700,JBI,TFB
AA0742,915,-700,1700,-400,TFB,BUM
AA0743,1800,-400,2024,-700,BUM,TFB
AA0754,1135,-700,1720,-500,TFB,TUM
AA0755,1810,-500,2028,-700,TUM,TFB
AA0758,1045,-700,1615,-500,TFB,NDJ
AA0759,1705,-500,1900,-700,NDJ,TFB
AA0809,835,-700,1127,-1000,QEY,PHH
AA0810,1100,-1000,1943,-700,LPB,TFB
AA0812,1500,-1000,2259,-700,PHH,TKD
AA0820,1800,-700,1950,-700,TNG,TFB
AA0820,900,-1000,1703,-700,PHH,TNG
AA0821,1915,-700,2138,-1000,TNG,PHH
AA0821,1600,-700,1745,-700,TFB,TNG
AA0823,940,-700,1158,-1000,PBL,LPB
AA0825,705,-700,946,-1000,TBO,PHH
AA0828,1305,-1000,2111,-700,LPB,PBL
AA0830,1130,-1000,2005,-700,IOM,QEY
AA0835,920,-700,1145,-1000,PBL,IOM
AA0836,1405,-1000,2205,-700,IOM,PBL
AA0837,950,-700,1215,-1000,TKD,IOM
AA0838,1245,-1000,2045,-700,IOM,TKD
AA0841,810,-700,1026,-1000,PBL,PHH
AA0843,1020,-700,1330,-1000,TFB,LPB
AA0845,1545,-700,1845,-1000,CMJ,IOM
AA0846,1230,-1000,2047,-700,MJI,PBL
AA0848,1345,-1000,2152,-700,MJI,TKD
AA0850,1230,-1000,2031,-700,PHH,PBL
AA0851,1110,-700,1418,-1000,TFB,IOM
AA0852,1314,-1000,2200,-700,IOM,TFB
AA0854,1050,-1000,1925,-700,MJI,TFB
AA0858,1130,-1000,2003,-700,PHH,TFB
AA0859,1850,-700,2156,-1000,TFB,IOM
AA0860,2135,-1000,620,-700,IOM,TFB
AA0861,1105,-700,1400,-1000,QEY,PHH
AA0862,1050,-1000,1913,-700,PHH,QEY
AA0865,855,-700,1130,-1000,TKD,MJI
AA0867,1720,-700,2022,-1000,TFB,PHH
AA0870,1410,-800,1815,-1000,BOD,IOM
AA0871,2055,-1000,500,-800,IOM,BOD
AA0875,935,-700,1245,-1000,TFB,MJI
AA0877,730,-700,1026,-1000,QEY,IOM
AA0878,2125,-1000,558,-700,PHH,TFB
AA0879,720,-700,950,-1000,PBL,MJI
AA0890,1345,-1000,2204,-700,PHH,TBO
AA0891,1000,-700,1304,-1000,TBO,IOM
AA0892,1520,-1000,2355,-700,IOM,TBO
AA0893,740,-700,959,-1000,TKD,LPB
AA0894,1430,-1000,2236,-700,LPB,TKD
AA0895,1020,-700,1245,-1000,TKD,PHH
AA3294,1230,-800,1530,-800,BOD,EVU
AA3295,1615,-800,1915,-800,EVU,BOD
AA3296,1400,-800,1700,-800,BOD,EVU
AA3297,1745,-800,2045,-800,EVU,BOD
AA3298,935,-800,1235,-800,BOD,EVU
AA3299,1320,-800,1620,-800,EVU,BOD
AA3451,700,-700,915,-700,CVS,QEY
AA3452,955,-700,1200,-700,QEY,CVS
AA3453,1230,-700,1444,-700,CVS,QEY
AA3454,1415,-700,1621,-700,QEY,CVS
AA3455,1700,-700,1916,-700,CVS,QEY
AA3460,700,-700,910,-700,QEY,POU
AA3461,700,-700,925,-700,POU,QEY
AA3462,1525,-700,1736,-700,QEY,POU
AA3463,945,-700,1159,-700,POU,QEY
AA3464,1955,-700,2211,-700,QEY,POU
AA3465,1810,-700,2024,-700,POU,QEY
AA3472,700,-700,935,-700,TFB,MHC
AA3473,1005,-700,1248,-700,MHC,TFB
AA3474,1320,-700,1600,-700,TFB,MHC
AA3475,1630,-700,1911,-700,MHC,TFB
AA3476,1640,-700,1917,-700,TFB,MHC
AA3477,1950,-700,2231,-700,MHC,TFB
AA3478,1240,-700,1500,-700,QEY,MHC
AA3479,1700,-700,1925,-700,MHC,QEY
AA3481,1335,-700,1607,-700,TCB,TFB
AA3482,1035,-700,1259,-700,TFB,TCB
AA3488,1950,-700,2158,-700,QEY,CVS
AA3490,1945,-700,2149,-700,TFB,GBU
AA3491,750,-700,1005,-700,GBU,TFB
BA2001,1820,-700,1900,-700,ZLN,TFB
BA2002,1710,-700,1749,-700,TFB,ZLN
BA2011,1022,-700,1145,-700,TFB,NGS
BA2014,1030,-700,1120,-700,QEY,TFB
BA2015,1205,-700,1253,-700,TFB,QEY
BA2018,1130,-700,1221,-700,QEY,TFB
BA2019,2100,-700,2142,-700,QEY,SEN
BA2024,1345,-700,1433,-700,TFB,ZWS
BA2026,1700,-700,1747,-700,QEY,TFB
BA2033,1145,-700,1235,-700,ZWS,TFB
BA2034,745,-700,828,-700,SEN,QEY
BA2039,1000,-700,1051,-700,TFB,QEY
BA2040,1545,-700,1625,-700,FVH,QEY
BA2042,2000,-700,2050,-700,QEY,TFB
BA2043,1300,-700,1350,-700,TFB,QEY
BA2044,1500,-700,1547,-700,QEY,TFB
BA2045,2000,-700,2049,-700,TFB,QEY
BA2046,1730,-700,1817,-700,QEY,TFB
BA2047,1900,-700,1949,-700,TFB,QEY
BA2048,700,-700,807,-700,QEY,HFH
BA2049,1255,-700,1407,-700,HFH,QEY
BA2051,1100,-700,1151,-700,TFB,QEY
BA2052,1830,-700,1920,-700,QEY,TFB
BA2055,2030,-700,2119,-700,TFB,QEY
BA2056,2030,-700,2120,-700,QEY,TFB
BA2057,1700,-700,1750,-700,TFB,QEY
BA2061,1600,-700,1649,-700,TFB,QEY
BA2064,1658,-700,1738,-700,TFB,FBU
BA2068,1330,-700,1419,-700,QEY,TFB
BA2069,1810,-700,1851,-700,FBU,TFB
BA2071,700,-700,822,-700,TKD,MBY
BA2076,1755,-700,1915,-700,MBY,TKD
BA2077,1946,-700,2109,-700,TKD,MBY
BA2078,2150,-700,2311,-700,MBY,TKD
BA2079,1430,-700,1529,-700,BMX,TFB
BA2081,1156,-700,1235,-700,QEY,FVH
BA2082,1554,-700,1635,-700,SEN,QEY
BA2083,1440,-700,1524,-700,QEY,SEN
BA2086,1955,-700,2049,-700,TFB,BMX
BA2087,650,-700,749,-700,BMX,TFB
BA2091,2100,-700,2159,-700,QEY,NGS
BA2092,630,-700,719,-700,QEY,TFB
BA2092,500,-700,558,-700,NGS,QEY
BA2093,1725,-700,1824,-700,QEY,NGS
BA2094,1855,-700,1954,-700,NGS,QEY
BA2095,1230,-700,1329,-700,QEY,NGS
BA2096,1300,-700,1359,-700,TFB,BMX
BA2098,1400,-700,1457,-700,NGS,QEY
BA2100,2240,-700,2328,-700,TFB,QTD
BA2101,600,-700,652,-700,QTD,TFB
BA2102,745,-700,835,-700,TFB,QTD
BA2103,905,-700,957,-700,QTD,TFB
BA2104,1005,-700,1055,-700,TFB,QTD
BA2105,1125,-700,1217,-700,QTD,TFB
BA2106,1335,-700,1428,-700,TFB,QTD
BA2107,1500,-700,1552,-700,QTD,TFB
BA2108,1610,-700,1700,-700,TFB,QTD
BA2109,1730,-700,1822,-700,QTD,TFB
BA2110,1835,-700,1924,-700,TFB,QTD
BA2111,1955,-700,2046,-700,QTD,TFB
BA2114,2038,-700,2323,-600,TFB,ZZD
BA2115,630,-600,719,-700,ZZD,TFB
BA2116,910,-700,1156,-600,TFB,ZZD
BA2117,1240,-600,1328,-700,ZZD,TFB
BA2118,1420,-700,1705,-600,TFB,ZZD
BA2119,1745,-600,1834,-700,ZZD,TFB
BA2121,730,-700,821,-700,TFB,QEY
BA2129,800,-700,850,-700,TFB,QEY
BA2130,1900,-700,1950,-700,QEY,TFB
BA2132,1600,-700,1649,-700,QEY,TFB
BA2133,1540,-600,1611,-700,CPJ,TFB
BA2134,2255,-700,2336,-700,TFB,FBU
BA2135,2130,-700,2217,-700,TFB,QEY
BA2136,710,-700,933,-600,TFB,CPJ
BA2138,2100,-700,2159,-700,TFB,HFH
BA2140,1633,-700,1900,-600,TFB,CPJ
BA2142,1740,-700,2007,-600,TFB,CPJ
BA2148,1240,-700,1510,-600,TFB,CPJ
BA2151,1500,-700,1551,-700,TFB,QEY
BA2155,600,-700,641,-700,FBU,TFB
BA2158,950,-700,1029,-700,TFB,FBU
BA2159,1105,-700,1149,-700,FBU,TFB
BA2162,1630,-700,1719,-700,QEY,TFB
BA2167,1205,-700,1329,-700,TKD,QTQ
BA2167,920,-700,1128,-700,QEY,TKD
BA2168,1620,-700,1821,-700,TKD,QEY
